 Resultados de la simulación
 Numero de partículas:         500
 Volumen de la caja   1000.0000000000000     
 Lado de la caja   10.000000000000000     
 Radio de corte del potencial   5.0000000000000000     
 Energía potencial =  -1688.1603719028210     
 Energía cinética  =   1023.1603719028227     
 Energía total     =  -664.99999999999829     
 Momento neto  =   1.7341171882562566E-014
 Posiciones, velocidades, aceleraciones
     i       rx             ry             rz             vx             vy             vz             ax             ay             az
    84       0.038063       9.010434       0.924948      -2.004845      -1.125539       1.311755       1.022619       1.725669      -2.539690
    85       2.101481       7.920757       0.156387      -0.313731      -1.133083       0.825047      -0.015712       3.963123      -2.401041
    86       2.996695       8.970285      -0.078126       0.411371      -0.426778       0.540205       0.492680      -1.462262      -1.339723
    87       3.188610       8.086606       1.050855      -0.391812      -0.367642       0.560958     -16.875441     -19.068071      -1.579946
    88       1.924586       9.092354       0.994782       0.854236      -1.643261       0.777136      -0.363951       1.862794       0.795328
    89       3.808356       7.961843      -0.080338      -1.439626      -1.388663      -1.679557      -2.043818       1.635211      -1.174944
    90       5.059335       8.829599       0.017854      -1.823002       0.926830      -1.774672       1.904108       1.823554      -2.792159
    91       4.959474       8.141974       0.864465      -1.397885      -0.723436       0.316967       0.960305       0.063237       2.670338
    92       3.832404       8.844804       1.111527       0.488887      -0.523951      -0.484450      20.674028      18.438979      -0.275679
    93       6.026726       8.021653       0.130833       0.887588       0.377331      -2.081657      -0.723533       0.914017      -0.246740
    94       6.830665       9.183729       0.117447       0.338881      -0.992283       0.267080      -0.009969      -1.572307       1.674190
    95       7.087883       8.057456       0.808249      -1.431563       0.194807      -1.168383       0.285003       1.421478      -1.904438
    96       5.878892       9.020771       1.015822       2.069111      -0.885502      -1.512816      -0.157791       0.021241      -2.106557
    97       7.999123       8.150572      -0.139664      -0.237157      -1.842181      -0.199281      -0.271424      -0.734499      -1.613743
    98       9.173812       8.965544       0.055746       1.877625      -1.228004      -1.026277       3.383144      -0.864585       0.884681
    99       9.024213       7.981270       0.949789      -0.648093      -0.763930       0.793460       1.779924       0.490280      -0.746917
   100       7.944848       8.965526       1.147544      -0.582928       0.178479       1.836467      -1.418246       0.290099       1.451992
   101       0.186947       0.047904       1.812364       0.348003       0.615029       1.769947      -1.170626      -0.680849       0.127581
   102       1.186377       1.054334       2.092987      -0.724675       1.150604       0.553502      -9.754226     -12.644330      -1.588803
   103       1.037065      -0.155975       2.912508       0.733346       1.654628       1.981422      -0.358869      -1.147322      -1.300813
   104       0.077495       1.175925       3.154462       0.867717      -0.661714      -1.089594      -0.469044       0.829699       2.906465
   105       2.122751      -0.161962       2.026270      -1.232610      -0.508218       1.777760       0.096689      -1.837598       1.360401
   106       3.077043       1.159042       1.836609       0.795114       0.123652       1.329138       1.479120      -0.030925       2.250885
   107       3.170569       0.027086       2.812054      -0.584744       1.487471      -0.236002      -7.073604      -4.199369       0.264341
   108       2.174814       0.893809       2.882055       1.015152       0.161686       1.036484       2.167351       1.330733      -1.854353
   109       4.030907       0.111569       2.129610      -0.010895       0.150252      -0.547262       5.049414      -7.795756     -10.880964
   110       4.878088       0.978069       1.951817      -0.968331       1.501449       0.868668      -1.083569       0.806454       0.964629
   111       4.874462      -0.017299       2.909145       0.893985       1.396126       0.342030      -1.730655       1.946597       0.072103
   112       3.853338       0.854741       2.829267      -0.837593      -0.957993      -2.078321       1.561320      15.157803       7.668984
